Label,Text
1,I will endeavour at some point to go back through to where I left off & greet each of our new members by way of a personal message .
1,What city and when was this that no calls could be made out .
1,The only sports I watch are the 99 % white leagues my 6 white grandchildren play in .
1,Imagine if I got 100 percent negro .
1,Stay away from all fast food garbage .
1,2508
1,Just the yo crap .
1,They fought fiercely for their land and got no mercy if captured alive
1,"So I guess you 'll just have to go to the Canadian Prime Minister and ask him to declare you Emperor and step down , or something ?"
1,Its got to be a quote from someone .
1,Voice my opinions without riding the coat tails of others .
1,"Pro-gun Jamie Gilt is shot by her four-year-old son in Putnam County , Florida | Daily Mail Online"
1,Forgot to add that in my earlier comment .
0,So the Jews are Gods chosen people and we are the dumb cattle used to bring the Jews back to Gods fold .
1,o___O Im gonna see if i can get them on my kobo . .... damn nope .
1,I've told my friends and all of them agree with me ( some only partially ) .
1,TF .
1,"No, there is no logic for closing the section ."
1,Although we have slight variances in our position here I want to thank all the posters who have kept this thread civil .
1,I do n't even like buying cartons of juice !
1,From David Pringle For folks who have questions about the National Alliance or would just like to listen this is your chance .
1,"In fact , the cosmic jellyfish is part of bubble-shaped supernova remnant IC 443 , the expanding debris cloud from a massive star that exploded ."
1,Tight as in good abs ?
1,Or maybe they didnt because your friend took action and thats a good thing we should all take action .
1,Shows me that you 've probably never trained in jiu-jitsu .
0,They have been taking advantage of our over-welcoming nature for far to long .
1,I believe that Ireland needs a WN party and quite quickly after the amount of non whites that I seen while in Dublin .
1,"It 's usually the `` gangstas '' that use this pose .. and some scene kids , but even scene kids listen to ( c ) rap / hip hop , so .."
1,I'm wondering how would the liberals react to the Zulu movie being released in the year 2014 ?
1,i'd like to know more about this debate .. is anyone welcome and where exactly is it being held ? good work by the way Mr.Roach. nice publicity .
1,http://www.spamlaws.com/state/summary.html the site lists all 50 states I believe .
1,- YouTube Angry large black woman goes ham on angry young black men - YouTube white man cokes black man and than throws black man off and beat him up .
1,Even has a restaurant in it .
1,I agree .
1,Our country is being over run and people let it happen just because the political issue here seens to take over the racial one .
1,"Although I had heard of this link before , tonight was the first time I checked it out : New Nation News - Black-on-White Crime It 's pretty much a site that mirrors this thread ."
1,I just created a new user group for all members of Stormfront with Slavic ancestry !
1,PatrioticMama
1,My ex girlfriends mother wrote that song !
1,Norske Legion ( Norway ) - Oi !
1,I'm taking my College funds and using them to start a self sufficient farm .
0,Marxist Subversion happened .
1,As long as she does n't look like she just came off the set for a rap video or wears sweatpants in public I 'm pretty flexible .
1,"You use your handgun , to fight back to your shotgun !"
0,"Shows what sub human group these negroid belong , the poor horse got an infection from the dirty pervert ."
1,"Yah , I guess there is !!!"
1,"They all smoke like crazy , especially the girl with the Three Stooges haircut ."
1,So he can show her off like a brand new sparkly jewel etc etc .
0,Don't eat a Snickers candy bar ... it will turn you into a negro ! ( Also has the obligatory White doofus guy at the end. )
1,Email me at ericahoesch@ntelos.net.
1,It was put there in just the last few hours .
1,"Thor Soderberg , 43 , was shot and killed at 61st and Racine ."
1,"I hate to be the grammar teacher , but you need to use paragraph and line breaks in the future for something like this ."
1,She does this two or three times a week .
1,"It wo n't be long until Jewish groups like ADL , SPLC , Simon Wiesenthal Center and Search light are applying big pressure to have these videos censored ."
1,CF
1,"I will go to sleep now , as I have to wake up reasonably early this morrow ."
0,i sort of understand where you are coming from but plenty of whites have sold us down the river so to speak although the jew is always in the background its very complicated will we ever find out the truth. somalians = scumalians !
1,"I always thought genocide was carried out with a bullet to the head when the victims were found , ya know , like every genocide since the advent of the bullet ."
1,"The bodies of dead goats , geese , sheep , and ducks had also been discovered "" ."
1,Angry Aryans is probably my fav band .
1,I am 33 and I have never ever gotten to first base here .
1,I love my beer ! maybe you were drinking liquor I always get crazy on that so I gave it up and now everything is fine .
1,hello.
1,I 've added you to my AIM but have yet to catch you online .
1,I just have to study for three and a half more years until I start working on a masters in electrical engineering Feels like it never ends .
1,Below is a message that was publicly displayed many months ago on the website of the President of the United States .
0,If that stopped the worthless thing would starve !
1,TAKE COVER SOON JAPAN NUCLEAR EXPLOSION GLOBAL DISASTER FUKUSHIMA YouTube - JAPAN NUCLEAR EXPLOSION GLOBAL DISASTER FUKUSHIMA I received this image in an email this morning .
1,Antoher 1500 singers from other countries were here also ( mostly from Finland ) - and I only saw 1 black and 1 asian there .
1,I wonder why this has been introduced I would n't trust anything that is being taught in our schools - nothing in our schools is for the betterment of our white children and anything that has been newly introduced ( especially in the times we are living in now ) I would be highly sceptical .
1,Ironic that they would consider those from Iceland as Germanic when people from Iceland have a 50 % blood link with Ireland due to the Viking slave trade .
1,I will be purchasing the kit next week .
1,She then had the other students vote him out of the class .
1,I 've tried everything talking to my parents about it but I guess it 's their choice to get a divorce if they are n't happy together .
1,The illustration of Old West ghost towns is something that every American can relate to .
1,"http://www.frontlinesourcegroup.com/ ... FSiCQgo * * * * AGw http://www.jobs-to-careers.com/index...FcKDQgodVk4ANQhttp://www.indeed.com/q-Temp-l-Conroe,-TX-jobs.html"
1,Wisconsin should have way more than what this map shows .
0,Our enemies have used RACE against us and are currently trying to destroy our RACE through a variety of different means .
1,perhaps if you set up the school in a white country then it will catch on and spread to multiracial parts of the world ?
1,"( If you click the video , the video comments are full of self-hating whites ) : YouTube - BAKA RAINFOREST PEOPLE YODELLERS"
1,Steve Reed Reporter Three of the suspects charged with the murder of a 12-year old Moore County girl were given suspended sentences for other crimes and were free on probation at the time of her slaying .
1,And the following video is from valued friends of the PLE movement .
1,C.N.N. Had story about this case today and said White Nationalist are using the story to help recruit people for there cause .
1,There is no hierarchy where we feel differently about non White group X than we do group Y. Non White is non White .
1,I was traveling today and was informed that the black slaves were trained and educated in the arts of skilled labor .
1,Thanks for the e-mail and addresses .
1,"What I find to be a joke is that someone would take it seriously and post absolute nonsense and crap about this site , without checking it out first ."
1,Why must we have a favorite .
1,Nancy Grace has had no other news but this for weeks .
1,No wonder children at a younger and younger age are engaging in sexual acts .
1,Will someone kindly tell me how to enter my signature ?
1,"I hear some great radio ads for National Vanguard , but only during the American Dissident Voices shows ."
1,"So how do they pass on their kosher values to their kids , despite sending them to public shools ?"
1,Are the Feds afraid of the tiny handful of citizens who own them ?
1,Nasty..
1,Norhat ( Norway ) - Metal/Oi !
1,Thanks !
1,- YouTube
1,"Joy To The World - Celtic Christmas Music - YouTube As I Went Out Walking -- Celtic Christmas Music - YouTube Gra Mo Chroi - The Love of My Heart www.celticchristmasmusic.org Irish Celtic Christmas Music - YouTube While Shepherds Watched thier Flocks by Night - YouTube King 's College , Cambridge : Choir of King 's College - Christmas Carols - YouTube Merry Christmas to all who love Jesus !!!!!"
1,But who knows ?
1,True.
1,"When are we going to stand up and say this has got to stop , that is the most ridiculous thing I have ever heard ."
0,What alternative do you have other than kill the black policeman and every black cop you can until they get you .
1,"Not aware they eat cats & dogs , but they are not us ."
1,Please explain so even we on the other side of the sea can understand .
1,"the think different video is excellent. when i watch videos like this i get a warm nostalgic feeling inside , must be similar to my mum when she watches gone with the wind or doctor zhivago"
1,Sounds like a heavenly community .
1,The comments section for this article is pretty empty right now ...
1,Do you do certain subjects some days or some weeks and others in different days or weeks ?
1,I saw that episode of the Sopranos ... and was applauding Tony !
1,Lass
1,"New total = $ 747.00 vonFreyja88 sent $ 60.00 which I 've not received yet , ( hopefully in PO Box in AM ) and the NA member from the Poughkeepsie , NY area who does not post here pledged another $ 50.00 , which I do n't have in my hand yet , brings the total to : $ 857.00 !!!"
1,But UFC and TUF is rigged and staged .
1,Oberschlesien - Als die Deutschen weg waren ( 4/5 ) - YouTube
1,i think this was one of the first forums i posted in too. i do n't think it 's a standard by which to judge someone. mike
0,If I feel threatened especially by these fools you can bet I 'll be just as quick to kill as they are .
1,I already gave up on Gone With The Wind for the same reason .....
1,Please click on the banner below to join Stormfront today .
1,We get the occasional mention in papers like the Guardian here and of course journalists look in but as far as I know that 's it .
1,I think that the Inuits were the premier reason for the disappearance of the Nordic people .
1,A news proved my allegation .
0,"Then again , in this modern age of white youth emulating negroes and white adults groveling at the feet of the juden , perhaps it 's an appropriate word after all ."
1,"You have to listen to him and his wife do little stories in between his interviews but they are ok = ) Phony Navy SEAL of the WEEK , Adam Hubbard , Jose R. Gonzalez , D.K. Grant ."
0,Every white person from Michigan knows that our Detroit negros are the worst in America .
1,Be safe .
0,I would n't marry a asian even after cirurgy .
1,My Mind 's Eye - Small Faces - YouTube
1,I saw this post a few days ago ..
1,I'm back and I hope that Teárlach is too or at least that JJT brave enugh to tell me who did it .
1,I guess whites will either have to start fighting back or be slowly exterminated .
1,They have been heavily attacked lately .
1,"This means you belong in Mexico , not the US ."
1,The negress above have boasted about that she will become the first black woman as the prime minister of Sweden .
1,It 's not a good video .
1,Nordic is a sub race that an Anglo Saxon or Celtic person could and more than likely does belong to .
1,I only hope my kids will follow the same path when they come of age .
1,Let our race continue on .
1,"Bad news is , weonly have cow sh * t to eat. good news is , there 's plenty of it !"
1,"I dont think anyone is going to decide , its going to be where whites feel the most at home among their own ."
1,Watch out Finland : http://www.nettavisen.no/servlets/pa ... = 3 & item = 217373 : attack
0,The filthy ape gave the horse an infection .
0,"`Interesting' to see someone of the same radio outfit to praise this figure , while there was an amazing show dedicated to uncovering the facts regarding this anti-German filth ."
0,Have you noticed when white 's beat on blacks they usually end it with one punch and then leave the ape alone .
1,André Rieu - The Beautiful Blue Danube - YouTube
1,Are they somehow less worthy because they fought for the `` wrong '' side ? 2508
1,http://www.eurorus.org/
1,"https : //www.facebook.com/bosanskinacionalisti ? fref = ts Here you can see various phenotypes of white members of that group , with purely European faces"
1,People arent giving the Japanese enough credit .
1,"Help pass out the NA `` LOVE YOUR RACE '' flyers , that will be a big help ."
1,And before you ask : Yes I bite my lips .
1,The Jew in the video which I posted speaks mostly in English .
0,And this is why SA went from First World under Botha 's rule ( deKlerk does n't count ) to a Third World begger horde .
1,"That and the fact he was one of the self-chosen , so according to their teachings he is allowed to do anything he wants to the Goyim ."
1,I have a summer job all planed out and im goin to 10th next year .
1,You can forget about the IRA .
1,I simply go over their research and then regurgitate the info .
1,"Non-Muslim Michigan High School students wear hijabs in school for class lesson to `` explore religion and identity '' | Pamela Geller , Atlas Shrugs"
1,"None of it 's takedowns or submission holds rely on brute strength , but instead on superb technique ."
1,It's a great book but I doubt you can find it in English on the Inet .
1,They were great mysteries .
1,There could be if could put together something we have had interest from people in Manitoba before .
1,Best to All !
1,"That describes the mooleys very well , the signature haymaker ."
1,You will get my unreserved and total support !
1,"Reflections on the 1970s Image Credit & Copyright : Jimmy Walker Explanation : The 1970s are sometimes ignored by astronomers , like this beautiful grouping of reflection nebulae in Orion - NGC 1977 , NGC 1975 , and NGC 1973 - usually overlooked in favor of the substantial glow from the nearby stellar nursery better known as the Orion Nebula ."
1,"If that was your DNA test results you posted , and if the methods of the particular testing company are reliable , then your dark coloring may be coming from these components :"
1,You know my track record from the pms I have sent ya .
1,Congrats .
1,We 'll find out tonight .
0,Besides who would even bother to help them ?
1,"Probably from the two minimum wage part time jobs ........ Oh wait , whites need not apply ."
1,"So am I , I 'll let them sit there for days before I reply , even if I 'm hanging out here ."
1,"That's completely true , I have a 3-y-o son and he does n't like at all to play with brown-skinned boys or girls , I especially remember once a pair of twin girls came up to kiss him and he just ran away , it was the enchantment of the white man !"
1,Those who do n't believe are free to walk away and those who do believe are not forced against God 's will .
1,I assume we have the concept that those who are themselves not in a PLE might be willing to invest in one .
1,I hear that McDonalds is coming to their aid .
1,The video was both chilling and exciting ...
1,"Black guy stabs student , and then slices her throat in front of 30 plus students and faculty , garners barely a mention in the MSM ."
1,Good luck on the magneto-hyperdrive .
1,At least this is the impression I get when I occassionaly happen to turn on a channel and there 's a children 's show on .
1,"Guys can you please tell me one thing What are good homeschooling programs with fast enrollment , free and for kids ? waiting for your reply"
1,I have a flyer at home that has the symbols to look for so once I return home I can get that info out 2 you .
1,"My son 's university has a `` College of Liberal Arts , '' ( CLA ) which awards B.A. degrees ."
1,"Personal Card for Teacher - Johann Warzecha in the Upper Silesian village of Kaminietz , near Tost-Gleiwitz ( Toszek-Gliwice ) ."
1,Good way to lose weight eat green salads .
1,we all want the females that are smart and look like top model but imporant is to ask ourselves : do we deserve ?
1,Right.
1,CZ-75 Tactical Sports ( 9 mm ) Mossberg shotgun ( 12 gauge ) Finnish RK 95 TP ( 7.62x39 ) M14 with scope ( 7.62x51 ) H & K 416 ( 5.56x45 ) I sort of regret not being able to pick the AKS-74 carbine as my sixth .
1,If not ...
1,When I started learning about Hitler in school and I was possessed with trying to find out if I was Aryan .
1,"I was about to get on ya about using the word clip , until I realized you are talking about video clip ."
1,Wake up White People !
1,It is interesting to note that all of the men in the video were dressed like those Moussed distributed pamphlets that popped up a few weeks ago when the revolution was really getting into the swing .
1,For you and I and other White nationalists yes .for French law unfortunately they are French .
0,"Absolutely, whenever i see a dirty white coon with dreadlocks i get the urge to grab him by his flea blanket head and head butt him senseless"
1,Even if that someone openly uses their own name .
1,"Response from a UCLA blowhard ... Oh shut the hell up you bumbling , incompetent hack ."
0,I ca n't fathom seeing all those brainless whites along with their negro counterparts worshipping Obama .
1,Those of the youth hold the future .... just listen to your old farts and young at heart 20 's and 30 's for a little advise
1,"If 100 stupid people were all alone in some forest but they had honor and were willing to work together , they can create a civilization or form some type of hierarchy ."
1,"The FBI recorded 500 murders in Chicago in 2012 , up from 431 in 2011 ."
1,"Striking was n't even dominated by grappling when the rules were minimal , let alone now ."
1,Antifa Forced To Retreat In Dover ( Trophies ) - YouTube
1,"As I said when the races are mixed its more difficult but they can between a white , black or Asian and that proves that races exist ."
1,I 'm hoping things will continue to grow with our smaller meets and will make for a good turn out at our events this year !
1,"The Diversity Dinner : Breaking Bread & Barriers - YouTube A lot of good comments on this video though , if you have a youtube account feel free to leave a comment on there ."
1,Romanians and Italians are fighting with one another while the enemy of all Latin people and of all Aryan humanity is laughing up his sleeve .
0,Tell them we 'll legalize drugs and pedophilia .
1,From what I hear .
1,Tereasa
1,"Any Europeans traveling to this country must be insane , I hope any Whites traveling there stay safe and use good judgement at night ."
1,Glory To all our Valiant British Brothers & Sisters !
1,"Children , like most animals , will respond to the appropriate feed back ."
1,"We do not want to annhilate other races , we simply want to preserve our own ."
1,"Oildale,Ca.While.this.little.town.borders.Bakersfi eld , it.offers.very.low.housing.costs , while.providi ng.many.jobs.in.the.oil.drilling.fields.i.e.weldin g & support , .mostly.White.Racial.make-up ( 90 % ? ) .Until.we.had.moved.here.from.Huntington.B each.6.monthes.ago , I.had.never.heard.of `` PLE '' .Our.i ntent.moving.here.from.So.Cal.was.very.similar.to."
1,there you go defending the jews again .
1,Toronto Police Investigating Alt-Right Posters as a Hate Crime ?!
1,in some ways i 'd say the movie `` Full Metal Jacket '' is ... the first few lines of that movie are great haha
1,"It actively teaches kids to be PC , but it is still useful ."
1,Making them up a history because they have none ?
1,Nice .
1,ik was watching a outdoors hunting show in Canada today. looks to me they have every thing we have channel 604 on direct tv
1,Clash of the services !!
1,Toronto and Vancouver will be returned to the white Canadians and join America as the 51st and 52nd states .
1,WeisserSturm-why u want to kick greeks ? u have too much nationalistic minds ? then why u live in USA ?
1,My wife is in the other room now getting her totals together to hand in tomorrow morning .
1,Sorry the worse working class slum is as Irish as the rest of Ireland.I love Ireland and my people all Irish are my people .
1,"I posted a thread in Stormfront Ireland the week before about english hooligans slashing an Irish mans throat , the thread dissappeared without explanation ."
1,And Vermont is a uber-liberal stronghold where child molesters are treated better then law-abiding citizens .
1,Don't start me raging on all the German and Swedish students we have here taking places from the country 's native people I can imagine there is quite alot Finns in Swedens universities though .
1,An AR10 does n't really fit into that .
1,I wanted to thank you Mjodr for taking the time today to go check out a house there in the area for my family and I to move to .
1,Cheers
1,Most of those Youth were goths and they lit up when they saw real White people .
1,How was that even happened ?
1,They are pretty nice looking and most important of them all is that they name the Jew .
1,This weekend the decorations go up .
1,"Yeah, i guess the one time you 're not prepared for it will be the time it goes down ."
1,"Of all people , the Germans have learned this lesson best , I think ."
1,I tried to google but always got links of Children of Bodom metal band .
1,I was really excited to come across this site full of like minded people !
1,AIM: hayden1488 ICQ : 156598438 MSN : hayden _ 1488 Yahoo : hayden _ 1488 Note you can also find out peoples logins for instant messager programs on our Stormfront profiles .
1,And Oh My God .
1,These are the kind of stories that most of the time come out of India and Pakistan .
0,"Maybe H & K did not realize that blacks do n't buy firearms , they steal them ."
1,I am not a white female or in wisconsin but I figured I would say hi since your talkin with my wife
0,It is in the nature of Jews to desecrate traditions of all sorts and push our women to make fools of themselves .
1,How many feet were lost ?
1,I have 2 friends in CS and neither has EVER worked with a black .
1,"I come for the Pride , but I stay for the love ."
1,I keep sticking to the fish and chips for safety sake ....
1,I ai n't deaf yet .
1,Looks like quite a few of them picked up a lot of Aryan genes .
0,There are many alternatives to adopting little mud babies.There is srrogate mothers and invitro fertilization are just two.If these are not financialy possile then wait till it is .
0,"They mutilate their own , and they do their best to see to it that those whom they see as their goyim slaves are also marked ...."
0,"The Chechen beast was one of those who committed killing in the name of Allah against our Russian brothers , like the theater in Moskva ."
1,"Too many internet people know me by looks , and would love to crucify me for something ."
1,"- YouTube Not in Kalispell , but one of my favorite cities ..."
1,14/88
1,Humility does n't even cross their mind .
1,So if a child asks his parents what are they celebrating the parents will answer `` we are celebrating secularism '' ?
1,Youtube has several dozen Holocaust Revisionist videos .
1,hello to all !
1,Your posting of this information is very useful !
1,"we had a great depresion many years a go some went outside the law just to make a living when you cant find a job and have nothing to eat you will do what you have to do , the people i mentioned never went on trial and were never convicted"
1,I have a dominant personality and I look for the same thing in girls .
1,"LOL, ok I give up I just had never heard that specific word before and it was n't in my dictionary ."
1,"Well it 's not exactly a pic , but check out my new avatar !"
1,-Zoë
1,"Everytime I hear the word `` Yugo '' I think of that scene in Dragnet , where Sergeant Joe Friday says `` the department furnished us with a 1985 Yugo , the cutting edge of serbo-croatian technology !! ''"
1,There is a survivor support page on facebook .
1,UC student robbed at gunpoint : ' It can happen to anybody'
1,Then again it 's the same people who told all students living on campus they had three hours to vacate and go home .
1,Your gonna get beat up by guys ! Thats messed not even the sorenyos kids at my school hit girls unless its their whore !
1,Derren Brown - The Assassin Part 1 - YouTube Derren Brown - The Assassin Part 2 - YouTube Derren Brown - The Assassin Part 3 - YouTube Derren Brown - The Assassin Part 4 Final - YouTube Fun stuff .
1,[ youtube ] l46t _ nrySg4 [ /youtube ] [ youtube ] ky-zdHMNFNM [ /youtube ]
1,"Me , I love ' em any height ."
1,"Call the teacher and complain , or pull your child out of his class ."
1,"At least 700,000 of retail jobs will be lost ."
1,Reproducing does ....
1,In light of this it 's now wonder Hitler was considered a champion of the German people .
1,Here are a few of my favourites by Dr. Pierce !
1,And I wonder how many of those couples regret crossing the color line ?
1,I have nothing against them .
1,The reds are always protesting against people like David Irving its time we got out there and counter act them
1,It is also what i and almost everyone on this thread dream about and work for after all it is the only asurance the Aryan people have for survival
1,That or they where just lazy and did n't want to digg two graves for a fallen soldier .
1,It refers to people you find in Ireland with very black hair and very pale skin .
1,"https://equity.spps.org/uploads/raci...y_glossary.pdf In another version ( hardcopy , photocopy from a 2009 ) it read power , position , and privilege , and now it reads power , presence , and privilege ."
1,I figured it would only get worst .
1,We can play this game all day if you want to .
1,http://www.unitedcountry.com/search0 ... 7970 & AU = N & FT = P
1,YouTube - In the foggy dew YouTube - BraveHeart Music Video YouTube - Visit Scotland TV Advertisement - Winter Not sure about the message in the last one but at least it shows we 're a white country !
1,It is amazing what they accomplished back then without the distractions and crappy public schools .
0,"Here is your logic : some whites are corrupt whores for Jewish supremacists , therefore Whites should not oppose Jewish supremacist extermination of all Whites and JS efforts to control humanity 's future ."
1,A wind of change is starting to blow .
1,Every white person is welcome here with the reminder to have an eye for the gypsies .
1,"im an irish n.s skin , id like to hear from any skin or nonskin n.s girls from around the world ! 88 ..."
1,"The town consisted of , probably 25 % white , and the rest mexican ."
1,Arkan _ USA
1,I was brought up to believe that ladies do not use such language
1,"I guess it 's official then , nothing on this planet is k-proof ..."
1,- YouTube
1,"Young white people are doing it more then ever , it 's just that those bloody clinics are getting better at what they do ."
1,"Of course , none of this is set in stone ."
1,LMWAO!You were letting them fish in your pockets ?
1,"I am going to try and update my site soon , I did however add a chat room ."
1,Their cheerleaders went to court for their First Amendment rights in putting Bible verses on their football game banners & won .
1,MVI 0147 Dead Pig Stops New Mosque Construction !
0,I'm sure the Jews in Scandinavia dumb down the education systems there too .
1,"Hello takebakamer1211 You are not typing to yourself , we can all see your message ."
1,Tell that scumbag teacher if the jews in Israel should become a miniority or be taken over by arabs .
1,Are you suggesting they should n't appreciate this ?
1,"There is no expectation of privacy in public , so taking their pictures is legal ."
1,"Thanks for the commentary Mjodr , now I 'm getting excited !"
1,"I've said all there is to be said on your ignorance and with that ; The village idiot , will always be , the village idiot ."
1,i need to know if any whites lives in the La Mirada area i just moved there and i dont know anyone .
1,Are there any majority white universities in South Africa ?
1,"Behind every avatar is an actual person , and we can even meet ."
1,Thanks both of you for that .
1,"I just want to see all the styles of clothes , how they wear them , etc ."
1,Quantum entanglement would indicate that quanta do `` communicate '' faster than the speed of light .
1,I saw the clip too .
1,I 'll have to reread it a few more times to get it clear but thanks for posting this .
1,I was born in Rhodesia mother was n't full blown african whale my father was of portugese descent .
1,I read an article on that awhile ago and it said that when Eisenhower went to Moscow he did n't even ask for american POWs to be released .
1,I grew up outside of crAKRON ( a small version of Cleveland ) .
1,Download Free PDF and Kindle versions or order paperback hardcopies .
1,Quit whining about it and go find a beautiful white girl to have babies with .
1,What city do you live in ?
1,"I asked for this on another thread , but was subjected to untelling rudeness ."
1,"Well said , the point of a PLE is an organic community , in which we are all free to express our own spins as we wish ..."
1,How evil can you get huh ?
1,Absolute stupidity !
1,He and my daughter ( once she is old enough for school ) will only be homeschooled from here on out .
1,"The hippies moved in from all across the nation to the Haight Ashbury and the family types there said : `` This is a strange community '' The hippies who knew laughed and a group called Buffalo Springfield made a song about it "" `` What is happening here , what it is ai n't exactly clear . ''"
0,How can the Jews be the same as God 's people when they are tring to kill them ?
1,Seig Heil - Andrew
1,"Not just that , but many people who adopt kids are capable of making their own pure white children ."
0,a nice kick to the nuts will always work I find it a dirty move to kick another man in the knackers but after all .. a black does n't equate to the same standard
1,Wow .
1,damn! at least that sounds more plausable than a stupid sea. maybe look on ebay ??? are u sure there is none left ???
1,welcome. here we promote white unity. british occupation of n.ireland is another issue. we cannot succeed if we promote hate against other whites. that is a fundamental tenet of white nationalism. just something to think about .
1,Do they say they dont care ?
1,I have never seen any around here and I am in a predominatly white area and have lived her basically all my life .
1,EU apology for ' racist ' pro-diversity ad - YouTube
0,Their gods often had pale skin and blue eyes but I suppose literacy is n't valued highly by their cultural intelligencia .
1,Ever wonder why ?
1,The U.S. Marshals Service said Barion A. Blake was killed about 12 : 30 p.m. at The Colonnade at Regency apartments in the 900 block of Monument Road .
1,The rest is tatar .
1,I wish it would come back
1,To spend years and years in Prison for pray painting something on someones house is just not right !
1,Looks pretty cool .
0,"Good going libtards , you ruined Rhodesia ."
1,German Fest !!!!!!!
1,The lemmings have become so used to having a different color ribbon for different causes .
1,"For the vast majority of Romanians , gays simply do n't exist , except on TV ."
1,I've taken a few dance classes at various times and enjoy it .
0,"ok, so do we need to kill them too or are the slavs okay ? for some reason whenever i hear the word slav , the word slobber comes to mind and i picture a slobbering half breed creature like the humpback of notre dame or Igor haha"
1,Billy Bitzer certainly was a daredevil cameraman .
0,Africans in Ireland should be treated like paedophiles .
1,"All of that is collateral damage of the great white genocide and we 're paying the price in many forms : our people loose unity , turn to alcohol or loneliness , stress and being unhappy etc .."
1,YouTube - Raw Video : Shoplifter Uses Skirt to Hide Booze
1,Many of us or our children will be attending school and want to hear what drivel they are dishing out so we will know what to expect .
1,I see pro and cons of both .
0,I guess it is all Jews because that rabbi guy who says we must to serve Jews was a Iraqi Jew .
0,"Unfortunately, she will find it very difficult to make a living as a historian if he does n't bow down and do reverence to the Holahoax religion ."
1,"Liked the music , by the way ."
1,Get out there and lead by example .
1,I'm from France but it 's so hard to find any people who are proud to be white and who share the same ideas than me.Let me know ... :
1,The headline brings to mind an old joke ; I have bad news and good news for ya .
1,"Projects from 1800s early 1900s Project of the State Duma ( Contest of 1905-1906 ) , by Vladimir Vasilyevich Suslov ( July 25 , 1857 August 1921 ; Владимир Васильевич Суслов ) Country House Church , by M. Kuzmin Country House Project of Tsar 's Pavillion in Polytechnic Fair in Moscow , 1872 , by Dmitry Nikolaevich Chichagov ( September 3 , 1835 July 4 , 1894 ; Дмитрий Николаевич Чичагов ) ?"
1,Change the language of your keyboard setting in your Control Panel under the Regional Optional and Langauges theme. or . . .
1,THREE times as many Muslims are in prison than 15 years ago
1,"https : //www.facebook.com/pages/Boyco ... 85159441543213 Worthwhile Canadian Initiative : Dumb men commercials err ... why not dumb black men , dumb black women , dumb Asians ?"
1,It is Athens in Greece with population 4.000.000 people.The non whites ( Blacks/Asians ) are 5000 at the most.Maybe you see a black person once in a couple of months ( or in television ) .
1,"CONFIRMED - March 12 , 2011 YouTube - UPDATE 1pm CST -- NOT GOOD !"
0,There will be hundreds of thousands of white people fleeing your proverbial sea of mud this is where we come in .
1,The Lone Ranger was black Annie was a little black girl There were black Vikings Spartacus was black Hercules was black The jews have two choices for past historical figures Make them to be black or make them out to be crazy genocide White maniacs like in Christopher Columbus
